Folio,RUT,Fecha,Monto,Razón Social,Descripción
F001234,76.123.456-7,2024-10-01,150000,Tecnología Avanzada S.A.,Licencias de software
INV-5678,78.987.654-3,2024-10-02,75000,Servicios Profesionales Ltda.,Consultoría IT
FC-9012,77.555.444-2,2024-10-03,300000,Materiales y Suministros S.A.,Equipos de oficina
DOC-3456,79.111.222-8,2024-10-04,120000,Constructora Nuevos Horizontes Ltda.,Mantenimiento edificio
F002345,76.666.777-1,2024-10-05,85000,Gráfica Digital Print S.A.,Impresión de documentos
INV-7890,78.333.444-5,2024-10-06,95000,Seguridad Total Express Ltda.,Servicios de vigilancia
FC-1234,77.888.999-3,2024-10-07,45000,Limpieza Integral Pro S.A.,Productos de aseo
DOC-5678,79.222.333-6,2024-10-08,180000,Electro Instalaciones Norte Ltda.,Instalación eléctrica
F003456,76.444.555-9,2024-10-09,65000,Catering Gourmet Plus S.A.,Servicio de alimentación
INV-9012,78.777.888-2,2024-10-10,110000,Transporte Logístico Sur Ltda.,Servicios de transporte
